Player Name,Total Points
Raya,23
Welbeck,22
Groß,42
Mount,14
Mendy,17
Gordon,22
Robertson,16
Stones,16
Laporte,0
Bernardo,33
Kane,40
Davies,19
Perišić,25
Antonio,16
Paquetá,2
